title,slug,url,price_usd,price_kgs,Год выпуска,Тип кузова,Объем двигателя,Коробка передач,Пробег,Руль,Город,От (цена в кредит)
Продажа BMW 5 серии VII (G30/G31) Рестайлинг 2020,bmw-5-serii-6a0949db386805cff3a0c3f5,https://www.mashina.kg/details/bmw-5-serii-6a0949db386805cff3a0c3f5,28900,2527305,2020.0,седан,2.0,автомат,113000 km,Слева,Бишкек,В кредит от 55 312 ⃀
BMW X5 III (F15),bmw-x5-69fffea832901420399530,https://www.mashina.kg/details/bmw-x5-69fffea832901420399530,35500,3104475,2017.0,внедорожник 5 дв.,3.0,автомат,200000 km,Слева,Бишкек,В кредит от 60 794 ⃀
Продажа BMW X7 I (G07) 2020,bmw-x7-6a072bf5c705aa5c9a9c81cb,https://www.mashina.kg/details/bmw-x7-6a072bf5c705aa5c9a9c81cb,35700,3121965,2020.0,внедорожник 5 дв.,3.0,автомат,220000 km,Слева,Бишкек,В кредит от 60 794 ⃀
Kia Stinger I,kia-stinger-69c889deab0e2849411617,https://www.mashina.kg/details/kia-stinger-69c889deab0e2849411617,18700,1635315,2018.0,лифтбек,3.3,автомат,104000 km,Слева,Бишкек,В кредит от 36 577 ⃀
Продажа Toyota Camry VIII (XV70) 2019,toyota-camry-6a0ac3917d74039b38ee9a36,https://www.mashina.kg/details/toyota-camry-6a0ac3917d74039b38ee9a36,16300,1425435,2019.0,седан,2.5,автомат,150000 km,Слева,Бишкек,В кредит от 31 883 ⃀
Lexus ES VII,lexus-es-69c581f12351b444472731,https://www.mashina.kg/details/lexus-es-69c581f12351b444472731,23999,2098713,2021.0,седан,2.5,вариатор,90000 km,слева,Бишкек,В кредит от 46 942 ⃀
Продажа BMW M5 VI (F90) Рестайлинг 2021,bmw-m5-6a0a1d4c41a4b3064c98f6e5,https://www.mashina.kg/details/bmw-m5-6a0a1d4c41a4b3064c98f6e5,90000,7870500,2021.0,седан,4.4,автомат,45000 km,Слева,Бишкек,В кредит от 121 589 ⃀
Продажа Land Rover Range Rover Sport I Рестайлинг 2010,land-rover-range-rover-sport-6a09e572c4cdf8d8bb979847,https://www.mashina.kg/details/land-rover-range-rover-sport-6a09e572c4cdf8d8bb979847,14200,1241790,2010.0,внедорожник 5 дв.,3.0,автомат,230000 km,Слева,Бишкек,В кредит от 29 823 ⃀
Продажа Nissan Patrol V (Y61) 2003,nissan-patrol-6a070fe3017a2e817b407a62,https://www.mashina.kg/details/nissan-patrol-6a070fe3017a2e817b407a62,22900,2002605,2003.0,внедорожник 5 дв.,3.0,автомат,240000 km,Слева,Бишкек,В кредит от 44 793 ⃀
Продажа BMW X3 III (G01) 2019,bmw-x3-6a043ea898376f21caa60c54,https://www.mashina.kg/details/bmw-x3-6a043ea898376f21caa60c54,33000,2885850,2019.0,внедорожник 5 дв.,2.0,автомат,138000 km,Слева,Бишкек,В кредит от 60 794 ⃀
